reference,transfer_to_source,status,payment_method_code,updated_at
qbu4-sutz,False,canceled,yemekpay_creditcard,2024-05-04 21:46:03
vaf2-9ot5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:11
vv1x-0dxf,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:11
nbni-z79e,True,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:46:14
fcnm-suo1,True,canceled,yemekpay_creditcard,2024-05-04 21:46:18
zh70-jg9s,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:21
gzzn-uxvb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:29
ppa9-9p5n,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:36
o5pw-2cva,True,canceled,yemekpay_creditcard,2024-05-04 21:46:41
b7tu-3rcg,False,canceled_to_wallet,balance,2024-05-04 21:46:46
lnvm-ldmv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:46:57
cre4-e5ro,False,canceled,yemekpay_creditcard,2024-05-04 21:46:59
udeb-cv6y,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:47:00
r0jz-8rqr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:47:12
labb-9qc7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:47:24
xbv3-f62o,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:47:27
ykrs-p8bz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:47:29
t68r-aedr,True,canceled,yemekpay_creditcard,2024-05-04 21:47:56
y5a6-8tk2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:48:10
rltu-src5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:48:11
pfm6-sza3,True,canceled,yemekpay_creditcard,2024-05-04 21:48:16
nzze-7l47,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:48:18
qbu4-u2ge,False,canceled,yemekpay_creditcard,2024-05-04 21:48:22
fg0e-h7i9,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 21:48:27
oq2z-s17j,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:48:36
ctdt-7a52,False,canceled_to_wallet,balance,2024-05-04 21:48:50
ypg6-1y06,True,canceled,yemekpay_creditcard,2024-05-04 21:49:00
lbtm-7s6m,True,canceled,yemekpay_creditcard,2024-05-04 21:49:02
sxpa-cdi2,True,canceled,yemekpay_creditcard,2024-05-04 21:49:30
c75x-8nrf,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:49:35
x9j3-g75a,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:49:37
we7f-neqw,True,canceled,yemekpay_creditcard,2024-05-04 21:49:47
e030-ktek,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:00
q5if-ynhb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:01
fxku-frze,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
yzuq-e253,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
dcpf-drsv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
kfdv-asbv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
wvyy-dyd5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
s94b-0xjl,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
mdoo-64oi,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:22
j66d-tpeb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
x1yc-vfew,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
bqu2-o9s8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
kfdv-vqq8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
nhnv-9tak,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
m141-hpew,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
rpov-j110,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
ueuf-ynon,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
d8hw-vz0l,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
mdoo-vbzs,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:23
cypv-ubd7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:26
j1vh-gc3n,True,canceled,yemekpay_creditcard,2024-05-04 21:50:28
h12l-mzpa,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:28
lqnd-b3di,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:30
d6m7-f06b,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:33
qc1n-6zsn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:50:35
ja11-u4qe,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:50:57
p4cs-oi7p,False,canceled,yemekpay_creditcard,2024-05-04 21:51:01
g2dq-88t3,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:51:19
lq8h-3qaj,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:51:19
y59s-u4i4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:51:24
st75-m997,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:51:27
kpwe-55q9,False,canceled,yemekpay_creditcard,2024-05-04 21:51:36
v4gy-cmrr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:51:48
mzyx-2l5k,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:51:56
ja11-q9bv,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:51:57
f7rs-g6wz,False,canceled,yemekpay_creditcard,2024-05-04 21:51:59
p5h1-jekw,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:52:03
arej-j9dw,False,canceled_to_wallet,balance,2024-05-04 21:52:06
j2za-jn3g,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:52:16
xh8u-btp2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:52:47
dq2l-32k7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:52:48
vc0w-67os,True,canceled,yemekpay_creditcard,2024-05-04 21:53:13
eajj-x4i7,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 21:53:27
q4ab-57ew,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:28
hh8d-jvh2,False,canceled,yemekpay_creditcard,2024-05-04 21:53:32
xp6v-0cex,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:37
s44j-5k39,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:45
foju-f9rz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:47
rzil-ikgr,False,canceled,yemekpay_creditcard,2024-05-04 21:53:50
sopa-4ndo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:55
zxbu-xzz5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:53:59
vah2-m6vc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:00
qf43-qrjx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:04
y4x1-j2os,True,canceled,yemekpay_creditcard,2024-05-04 21:54:07
nphf-xbnl,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:09
met8-gmlz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:20
mzyx-i5sr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:24
huyi-kj70,False,canceled_to_wallet,balance,2024-05-04 21:54:26
xztw-pabq,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:54:27
fh9m-se3j,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:50
oz42-viok,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:54:54
z6dd-6slg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:00
